610.948 & 610.082 & 535.079 & 531.352 & 440.308 & 442.563 \\
611.549 & 613.371 & 532.970 & 534.337 & 438.966 & 436.915 \\
609.932 & 611.276 & 531.388 & 531.159 & 444.452 & 444.592 \\
611.080 & 611.018 & 533.972 & 532.594 & 443.550 & 444.504 \\
611.169 & 611.437 & 533.447 & 532.420 & 441.238 & 440.465 \\
613.287 & 613.386 & 543.502 & 543.900 & 439.636 & 438.996 \\
609.851 & 609.666 & 532.889 & 533.007 & 443.369 & 443.703 \\
611.236 & 610.893 & 534.408 & 534.409 & 442.251 & 443.019 \\
610.852 & 610.564 & 535.651 & 535.763 & 440.516 & 441.310 \\
609.464 & 609.625 & 533.490 & 533.748 & 440.956 & 441.631 \\
610.403 & 609.372 & 532.733 & 532.246 & 441.492 & 442.222 \\
610.965 & 610.944 & 530.401 & 530.686 & 440.943 & 441.798 \\
