610.613 & 611.864 & 533.382 & 532.468 & 439.444 & 443.098 \\
611.914 & 618.080 & 532.860 & 534.223 & 438.848 & 434.120 \\
612.712 & 625.210 & 531.305 & 527.652 & 441.527 & 433.434 \\
611.180 & 611.520 & 533.870 & 532.563 & 443.675 & 444.575 \\
611.406 & 613.768 & 533.082 & 531.949 & 440.121 & 436.899 \\
613.824 & 616.320 & 543.886 & 544.935 & 438.801 & 431.112 \\
610.060 & 610.570 & 533.055 & 533.414 & 443.292 & 443.360 \\
611.171 & 611.181 & 534.596 & 534.747 & 441.965 & 442.113 \\
610.690 & 613.161 & 535.817 & 535.582 & 440.343 & 439.971 \\
609.356 & 609.750 & 533.037 & 533.278 & 440.814 & 441.032 \\
610.340 & 609.661 & 532.529 & 532.910 & 441.435 & 441.570 \\
610.895 & 612.380 & 530.379 & 531.020 & 440.619 & 441.126 \\
