610.6131 & 611.8641 & 533.3821 & 532.4683 & 439.4436 & 443.0981 \\
611.9145 & 618.0805 & 532.8600 & 534.2226 & 438.8483 & 434.1201 \\
612.7121 & 625.2105 & 531.3049 & 527.6515 & 441.5266 & 433.4341 \\
611.1799 & 611.5203 & 533.8703 & 532.5634 & 443.6749 & 444.5746 \\
611.4064 & 613.7681 & 533.0823 & 531.9492 & 440.1207 & 436.8988 \\
613.8243 & 616.3199 & 543.8863 & 544.9347 & 438.8010 & 431.1120 \\
610.0604 & 610.5696 & 533.0552 & 533.4143 & 443.2918 & 443.3597 \\
611.1710 & 611.1815 & 534.5958 & 534.7467 & 441.9651 & 442.1126 \\
610.6903 & 613.1615 & 535.8173 & 535.5818 & 440.3428 & 439.9712 \\
609.3558 & 609.7496 & 533.0369 & 533.2780 & 440.8142 & 441.0321 \\
610.3402 & 609.6610 & 532.5294 & 532.9098 & 441.4346 & 441.5702 \\
610.8955 & 612.3805 & 530.3793 & 531.0201 & 440.6195 & 441.1265 \\
